peppyrant|A proud pepper-pod tyrant with a folded leafy crown, a red lacquered body, tiny muscular arms and black seed-shaped teeth.|pepper bite|capsaicin torrent
ashtronaut|A floating soot creature inside a chipped ceramic diving helmet, with ember-filled portholes and long smoke sleeves ending in copper mittens.|soot dart|orbital burn
coaltopus|A small octopus with glossy anthracite skin, eight curled ember-speckled arms and a crown of drifting sparks above its mantle.|ember sucker|coalwheel crush
pyrosette|A dancing ribbon creature whose body is a single folded crimson rosette, with two button-like ember eyes and long scorched silk tails.|ribbon singe|rosette whirl
smeltusk|A stocky walrus with a hammered iron hide, ivory tusks tipped in molten copper and dense russet whiskers glowing at their ends.|copper gouge|smelter bellow
cindersail|A manta-like airborne creature with triangular ash-grey sails, a red kiln-brick spine and a trailing tail of slow-burning braided rope.|sail spark|updraft furnace
vitramber|A translucent amber glass stag with branching flame-shaped antlers, charcoal hooves and a bright suspended coal where its heart would be.|glass antler|amber flare
bricket|A grasshopper assembled from small red kiln bricks, with hinged slate wings, long iron antennae and springy glowing mortar joints.|brick kick|mortar burst
scaldron|A hunched cauldron spirit supported by three bronze frog legs, with a foaming lava surface and two curious eyes formed from rising bubbles.|bubble scorch|cauldron overflow
charquill|A porcupine with matte charcoal fur, pale ceramic cheeks and long quills whose transparent tips contain tiny orange flames.|quill ember|charcoal volley
coppyrtle|A little turtle with a fluted copper radiator shell, a soot-soft face and steam escaping in neat spirals above its broad feet.|radiator tap|copperback roast
solcinder|A suspended solar furnace shaped like a dark metal sunflower, with many angled gold mirror petals and a compact white-hot central eye.|mirror kindle|focused noon
roastrel|A plump chestnut creature with a cracked mahogany shell, cream-coloured mitten hands and warm orange light shining through a star-shaped split.|shell toast|chestnut blast
kilnopal|A rounded opal golem with terracotta joints, a squat chimney crown and iridescent cracks glowing beneath a smoky translucent stone surface.|opal pulse|prismatic kiln
flarequin|A nimble jester made of overlapping fireproof playing-card shapes, with a brass mask and red smoke tassels curling from its pointed hat.|jester flick|scarlet encore
thermoth|A broad-winged moth with black velvet wings patterned like antique thermometers, luminous mercury-coloured veins and a fuzzy cinnamon body.|mercury flutter|thermal eclipse
slagmant|A patient mantis with jagged iron-slag armour, glowing joints and broad forelimbs shaped like molten-metal pouring ladles.|ladle hook|slag cascade
hearthare|A long-eared hare with dense russet fur, ear tips resembling glowing fireplace pokers and a chest patch like a small open hearth.|poker bound|fireside rush
axignis|A symmetrical floating axe spirit with a dark basalt blade, a single amber eye in its central socket and a handle made of braided flame.|edge kindle|cleaving blaze
carmelisk|A smooth caramel serpent with hardened sugar scales, glowing orange eyes and a broad fluted crest like a spun-sugar crown.|sugar scorch|caramel coil
sootindle|A tiny upright soot creature with a thimble-shaped iron hat, spindle legs and a cloak of warm ash dotted with red pinprick embers.|ash needle|spindle flare
pyrograph|A living wood-burning pen with a knotted wooden body, four charcoal ink-brush legs and glowing ornamental lines engraved across its face.|etched spark|searing signature
brazhound|A broad-shouldered hound with a bronze brazier ribcage, a plume of coals for a mane and soot-black stone paws.|brazier snap|coalhound charge
sizzlume|A jellyfish of translucent amber resin, with a bell rimmed in slow-burning wicks and long dark tendrils studded with tiny hot pearls.|wick sting|amber flarefall
flintelope|A lean antelope with layered flint plates along its neck, bright copper eyes and forked horns that shed small sparks where they cross.|flint skewer|striking gallop
charclasp|A giant animated iron clasp with padded coal-black limbs, one glowing hinge eye and a small fiery ribbon held between its hooked jaws.|hinge pinch|furnace embrace
volcairn|A three-legged cairn of balanced volcanic stones with a crescent-shaped face, a ring of ember moss and lava trickling through its stacked body.|pebble singe|cairn collapse
burnuette|A poised ballerina made of folded black metal, with a crimson ceramic tutu and a warm fire glowing through the ribs of her arched torso.|cinder pirouette|blazing arabesque
pumigull|A sea bird with porous pumice wings, a bright red chisel beak and tiny ember grains nestled between its pale stone feathers.|pumice peck|ashwing dive
thermalo|A rounded armoured pangolin with red copper overlapping scales, a frost-white ceramic belly and a thick tail shaped like a heating coil.|coil swipe|radiant roll
censoryx|A long-necked incense burner creature with four delicate brass hooves, a pierced ceramic face and a dense mane of fragrant red-gold smoke.|incense jab|cinder fragrance
magmuffle|A rotund charcoal puffball with plush-looking ash fibres, short orange toes and six ruby vents that open like flower buds when it exhales.|ash puff|muffle eruption
sparkoni|A little red ceramic oni with a broad copper grin, one curled charcoal horn and a club formed from fused firework shells.|fuse knock|festival burst
cinderette|A living iron sewing machine on four dainty bronze feet, with an amber lens eye and a looping thread of controlled flame through its needle.|needle singe|fiery hem
pyroklast|A crab with a dark volcanic shell, two differently shaped basalt pincers and a cluster of glowing mineral crystals growing from its back.|basalt pinch|clastic barrage
flaracet|A sleek ember whale suspended in warm air, with a smooth black ceramic body, narrow glowing fins and a fan of orange vapour above its blowhole.|heated wake|ember breach
scorchnut|A spiny pinecone creature with layered coal scales, sturdy twig legs and bright molten-orange seeds shining between its armour plates.|cone jab|seedfire scatter
emberloom|A four-armed loom spirit with a walnut frame torso, brass spindle shoulders and a flowing mantle woven from red and gold fire threads.|shuttle spark|burning tapestry
brimlot|A broad-winged axolotl-like creature with a sandy sulphur body, charcoal external gills and a fan-shaped tail edged in slow yellow flame.|sulphur nip|brimstone wave
crucibell|A suspended bell made of dark crucible ceramic, with an amber clapper eye and thick molten-bronze arms emerging from the bell's rim.|clapper scorch|casting peal
pyrexin|A fox-sized crystalline mineral creature with six angular legs, dark green-black glass plates and a glowing red molten core visible through its ribs.|glass spark|core refraction
scoriaffe|A squat giraffe-shaped volcanic creature with a long porous stone neck, soft orange eyes and a patchwork of red-hot scoria spots.|scoria stomp|caldera reach
flambasin|A shallow bronze basin creature carried by four graceful heron-like legs, with two amber eye stones and a rolling pool of warm flame in its bowl.|basin splash|bronze flarewash
cinnarch|A curled cinnamon-bark archway creature with two sturdy rolled-bark feet, clove-shaped eyes and a small living flame suspended beneath its arch.|bark kindle|cinnamon gale
coalibri|A tiny hummingbird with charcoal velvet feathers, a thin glowing copper beak and fast translucent wings shaped like twin flickering flames.|ember sip|coalwing flurry
cauterpede|A long centipede with alternating dark ceramic and copper segments, many short red-hot feet and a paired set of soldering-iron antennae.|solder nip|copper procession
solstoke|A broad-faced furnace mask carried on two glowing iron legs, with a semicircle of hinged sunray plates opening behind its head.|stoke slap|sunmask burst
cinderlock|A living brass padlock with a sturdy charcoal body, curled iron shackle horns and a fiery key-shaped tail winding behind it.|shackle snap|keyfire release
emberskein|A round creature made of loosely wound burnt-orange wool, with bright coal eyes and six free strands acting as springy arms and legs.|yarn singe|skein detonation
pyrotile|A flat mosaicked gecko with cobalt and copper ceramic tiles, orange luminous grout and broad adhesive toes shaped like small suns.|tile flick|mosaic furnace
slagoon|A stocky crocodilian built from smooth black slag, with a shovel-like snout, rust-red dorsal plates and a low glow beneath its jaw.|slag bite|ironbank rush
charmite|A chunky termite creature with a terracotta mound shell, copper mandibles and a crown of chimney tubes releasing thin golden smoke.|mandible toast|chimney rumble
ignifolio|A floating fan of scorched manuscript pages with a dark leather spine, an amber wax-seal face and paper arms edged in patient orange flame.|folio flick|burning chapter
rosemelt|A small black iron rose growing from four curled stem legs, with molten copper petal edges and one ruby eye nestled in its centre.|thorn sear|copper blossom
emberkip|A squat mudskipper-like fire creature with porous black stone skin, copper paddle fins and a wide throat pouch illuminated by hot coals.|coal hop|throat furnace
thermote|A floating cluster of red enamel calibration weights arranged around an ember eye, joined by thin arcs of orange heat.|weight spark|thermal convergence
pyroknell|A raven with soot-black paper feathers, a bronze bell for a chest and a tail of soft crimson smoke curled like a question mark.|bronze caw|funeral furnace
calderook|A living chess rook carved from basalt, standing on four blocky feet, with a glowing crenellated crater and square orange eyes.|basalt advance|crater check
coalsmith|A broad little smith spirit with a coal-basket torso, soot mitten hands, a burnished copper head and a hammer-shaped glowing tail.|hammer kindle|anvil eruption
melttern|A slender tern with a body of dark blown glass, molten-orange wings frozen in curved folds and a long copper forked tail.|glass dive|molten slipstream
flarelium|A buoyant red glass balloon creature with a dark brass collar, two ember eyes and curled iron ballast feet tethered by glowing filaments.|ballast spark|buoyant blaze
pyrothim|A thimble-sized ceramic knight with a broad stitched copper shield, a black wick plume and four short sturdy limbs made of glowing iron.|shield scorch|thimble charge
ashmorrow|A round owl-shaped hourglass filled with warm red ash, with clear smoky glass wings, a black ceramic face and two copper talons.|ash flutter|hourfire fall
