lustrarch|a floating archway creature of polished limestone with a single central face and dangling gold tassels|keystone gleam|threshold dawn
solfeather|a broad-tailed peacock whose fan resembles a sunrise of thin mother-of-pearl panels|fan flick|daylight display
glassnail|a tiny snail with a spiral magnifying-glass shell and glowing gold feelers|spiral glint|magnified ray
raydillo|a curled armadillo with ivory armor bands separated by bright beams and a broad translucent tail|beam tuck|radiant tumble
chromalyn|a supple feline with white fur and jewel-shaped floating spots tracing its flanks|color claw|chromatic pounce
helionaut|a round explorer creature with a clear globe head, brass boots and a small star suspended in its chest|orbit step|sunward leap
lumequill|a short porcupine with soft pearl fur and fan-shaped quills of frosted luminous glass|quill sparkle|prismatic volley
clarivox|a tall trumpet-headed creature with flexible gold limbs and a translucent throat glowing with music|brass call|clarion ray
sunscallop|a hinged shell creature with radial amber ribs, bright little eyes and two broad ivory feet|shell clap|scalloped flash
alabright|a sturdy alabaster bear with luminous seams, rounded paws and a gold crescent over its brow|marble swat|ivory radiance
fresnell|a hovering disk creature made of concentric glass lens rings around a lively amber eye|ring tilt|beacon focus
lucirope|a playful creature formed from one thick braided rope of light tied into a four-legged body|braid whip|luster knot
solpaca|a woolly alpaca with cloud-white fleece, long golden eyelashes and a radiant disk woven through its neck fur|fleece flare|golden canter
pearliant|a giant pearl-bodied ant with six thin champagne-gold legs and a transparent abdomen|pearl nip|colony shimmer
lumenlace|a hovering lace-winged sprite with an ivory seed-shaped torso and delicate luminous filigree arms|filigree flick|lacework flare
azurora|a squat star-nosed mole with pale blue fur and a glowing crown of tiny sunrise crystals|crystal dig|burrow beacon
luxotaur|a compact bull-headed guardian with broad white shoulders, a glass chestplate and gently curved gold horns|horn glint|radiant bulwark
dawnimbus|a buoyant cloud-bodied creature with long ribbon arms, gold-lined cheeks and a soft sun-shaped belly|cloud pat|morning burst
refractyl|a long-fingered gecko with clear gem pads, pale skin and a faceted transparent head crest|facet grip|splitbeam spring
luminova|a tiny starfish-shaped sky creature with five thick opal arms and a curious gold eye|star twirl|nova ripple
saffronel|a graceful crane with saffron-gold plumes, long dark legs and a ring of floating white petals|plume glint|saffron sweep
prismule|a sturdy mule with stained-glass ears, an ivory coat and a cluster of crystals along its brow|facet kick|prism gallop
hologruff|a shaggy goat with translucent curling horns and layered luminous outlines following its body|echo butt|hologram rush
gleamander|a broad-headed salamander with pearl gills, gold freckles and a softly glowing belly|freckle flash|gill radiance
suncog|a round clockwork crab with a central sun-face disk, eight brass legs and two small mirrored claws|gear pinch|clockface flare
orielith|a winged stone gargoyle with luminous stained-glass windows across its folded chest and gentle square features|window wink|oriel beam
luxafold|a living origami pangolin with pearl-paper scales, short gold feet and folded star ears|paper flick|folded sunrise
halomure|a ring-tailed lemur with ivory fur, golden hands and a hovering halo following its curled tail|halo swipe|golden vault
daymora|a slow-floating seahorse-shaped creature with a translucent opal spine and a crown of morning rays|spine shimmer|dawn spiral
luciplume|a tiny feather-bodied creature with two bright eyes and a long curved golden quill for a tail|quill stroke|plume brilliance
sungravel|a chunky pebble creature with five stubby legs and a bright molten-gold heart visible through quartz windows|quartz knock|heartlight quake
candivane|a pinwheel-winged insect with a pearl thorax and four broad translucent gold blades|blade glint|pinwheel ray
solopod|a round octopod with eight short ivory arms and a glowing sun-shaped mantle|arm flicker|eightfold gleam
iridawn|a slender fox with a split rainbow-glass tail and cream fur brushed with soft pastel highlights|tail prism|horizon dash
beacorn|a small acorn-shaped guardian with a frosted crystal body, gold cap and two mitten-shaped hands|cap tap|beacon seed
luxibex|a mountain ibex with massive ridged crystal horns, white wool and tiny suspended sunbeads|ridge jab|summit shine
vesperlite|a floating lantern flower with an amber center, six translucent petals and a long trailing gold root|petal lantern|evening glimmer
solacant|a armored ancient fish-shaped air creature with pearl plates and broad fins like gilded fans|fan fin|ancestral ray
lumisoothe|a round sloth with pale plush fur, luminous cheek patches and long curved opal claws|gentle glint|serene flare
prismora|a tall mushroom-shaped construct with a faceted glass cap, porcelain stem and three slender legs|cap refract|crystal canopy
halowisp|a hovering spiral of ivory ribbons circling a small gold mask with bright oval eyes|ribbon arc|spiral brilliance
rayvern|a two-legged winged reptile with frosted glass membranes and a golden keel along its chest|wing glint|sunward swoop
glimmurn|a walking ceremonial urn of pearl ceramic with curled gold handles and a radiant face beneath its lid|handle hook|vessel glow
lustrabbit|a tiny rounded rabbit with ears shaped like silver spoons reflecting warm sunlight|silver hop|luster leap
clarigon|a faceted crystal dragonfly with four broad optical wings and a body of linked luminous beads|bead dart|optical sweep
solstitch|a stitched linen guardian with buttonlike gold eyes and seams filled with soft sunlight|thread glimmer|woven dawn
aurelope|a nimble three-horned antelope with cream fur, mirrored knee plates and a radiant fan at its throat|mirror bound|auric rush
luminacre|a broad clamlike creature with mother-of-pearl armor, four padded feet and a warm luminous central orb|nacre clap|pearl horizon
pharowl|a tall lighthouse-headed owl with round glass windows, cream wings and small brass feet|beacon blink|lighthouse sweep
daygliss|a smooth gliding slug with an ivory body, gold-edged translucent fins and two luminous feelers|glissade glint|suntrail surge
solarium|a floating greenhouse-shaped crystal creature with leafy gold tendrils inside and four ivory root legs|glass tremor|sunroom blaze
