tealith|A squat ancient stone kettle creature with turquoise mineral seams, four rounded shell feet and a spout shaped like a gentle dolphin.|mineral splash|steeped surge
floephant|A compact elephant with smooth iceberg-blue skin, broad translucent ice ears and a trunk that curls around a floating snowflake.|ice-trunk tap|floeside charge
bracine|A muscular crab wearing a pale salt-crystal shell, with wide turquoise pincers, violet joint markings and a pair of tiny waving barnacle horns.|salt pinch|brinebreaker crush
waverune|A floating crescent of sculpted seawater with a luminous pearl at its centre, silver rune-like ripples and two flowing ribbon tails.|rune ripple|crescent tide
sleetle|A large beetle with a frosted blue carapace, polished black ice legs and a symmetrical row of small hanging sleet bells beneath its wings.|sleet click|frozen carillon
pearlop|A plump white hare with a glossy mother-of-pearl coat, long seafoam ears and little round pearls clustered along its hind feet.|pearl hop|nacre rush
splashforge|A sturdy aquatic golem with a blue iron body, waterwheel shoulders, broad paddle hands and a glass reservoir glowing inside its chest.|paddle knock|waterwheel crush
ceruleech|A broad flat leech with velvety cerulean skin, silver suction markings and a fan of transparent water fins circling its collar.|suction slap|cerulean whirl
wellwhorl|A walking stone well with two bucket-shaped feet, a gentle face carved into its rim and a twisting column of clear water rising from its centre.|bucket bop|wishing whirlpool
prismarineer|A slender reef knight with faceted sea-glass armour, a long shell lance and a blue cape that flows like suspended water.|glass lance|prismatic current
fathomoth|A moth with wide ink-blue wings shaped like folded ocean trenches, a pearl-grey furry body and luminous blue spots along its antennae.|trench flutter|fathom wave
caperill|A small capybara with polished riverstone fur, a clear shallow basin along its back and reeds growing between rounded shoulder plates.|riverstone nudge|basin backwash
shiverail|A sleek rail-like bird with layered slate feathers, long icy blue toes and a narrow train of frozen spray trailing its tail.|slate peck|shivering slipstream
balsquall|A round floating bath sponge creature with deep blue pores, two shiny black eyes and a crown of softly foaming white waves.|sponge spray|soaking squall
anemot|A low six-legged sea anemone with a dense turquoise tentacle mane, a small white ceramic face and coral-pink suction feet.|tentacle dab|anemone torrent
riftfin|A sharklike creature with a flat slate-grey body, wide translucent fins and a luminous blue fissure running along its angular spine.|fissure bite|riftwater rush
faucetusk|A squat boar with brushed silver tap-shaped tusks, a teal rubbery coat and four little feet that leave circular water ripples.|tap tusk|faucet flood
nimbushell|A small snail with a cloud-shaped frosted glass shell, a soft blue body and two bright droplet eyes suspended at the ends of curled feelers.|cloud trail|shellburst rain
barricoral|A squat fortress-shaped coral creature with thick blue pillar legs, pearl eyes and a crown of branching lavender reef towers.|reef ram|coral barricade
rainswell|A soft bell-shaped creature woven from dark blue storm clouds, with a clear water-drop face and four long dangling silver tassels.|tassel splash|cloudbell deluge
cavernacle|A many-eyed barnacle creature attached to a walking chunk of wet limestone, with thick turquoise tendrils and luminous blue cavities in its stone armour.|limestone jab|cavern pressure
sorbetti|A curled pastel-blue frozen creature with a rounded shell of layered sorbet ridges, translucent spoon-shaped fins and tiny dark berry eyes.|frozen scoop|sorbet spiral
jetsprite|A compact dragonfly-like creature with a smooth ceramic-blue body, transparent jet-shaped wings and four long droplet legs.|jet skim|spray acceleration
opalunge|A strong broad fish with iridescent opal scales, thick white paddle fins and a pale blue jaw shaped like a polished stone shovel.|opal ram|shovelwave surge
sealestine|A round seal with celestial-blue velvet skin, pale silver whiskers and translucent fin tips patterned like small starry tide pools.|tidepool slap|silver surf
pluviola|A violin-shaped water spirit with a blue wooden body, pearl tuning pegs, bow-like arms and clear flowing water strings.|string splash|rain concerto
iceolotl|A stocky axolotl with smooth white ice skin, six broad blue crystal gills and a soft transparent tail holding suspended snow grains.|crystal nip|icegill fan
maelstork|A long-legged stork with a dark slate body, curling wave-shaped feathers and a pearl beak holding a small suspended whirlpool.|whirlpool peck|spiral downwash
poolter|A cheerful ghost-shaped creature made of pool-blue water, with a white tiled collar, transparent paddle arms and a round bubble floating inside its head.|tile splash|poolside phantom
drizzloom|A delicate jellyfish carrying an upside-down woven reed basket, with luminous rain threads hanging from its rim and soft blue eyes visible through the weave.|rainthread sting|woven downpour
brinespire|A tall spiral salt-shell creature with three broad webbed feet, small indigo eyes and glistening blue water channels carved down its sides.|spiral trickle|saltspire torrent
glaquill|A heavy-bodied ice hedgehog with pale blue fur, short faceted glacier quills and a round dark muzzle framed by frost crystals.|glacier prickle|quill avalanche
cobblotide|A walking arch of wet river cobbles with a gentle stone face, four stubby pillars for feet and a hanging curtain of clear blue water.|cobble tap|archway flood
flotillae|A single buoyant insect creature with a hull-shaped white shell, four wide teal paddle legs and two upright translucent sail wings.|paddle skim|sailwater sweep
liquibra|A floating balance-scale creature with a pearl central eye, two suspended bowls of bright blue water and delicate silver fin-shaped arms.|balance splash|equalising tide
musselune|A crescent-shelled mussel creature with a deep blue mantle, pearl-like feet and a fan of small luminous water drops orbiting its shell.|mantle slap|crescent backwash
tubulisk|A long creature formed from translucent blue glass tubes, with a small pearl head, four webbed brass feet and water circulating through its looping body.|tube jet|spiral siphon
meltip|A tiny penguin-like creature made of rounded blue ice, with black stone eyes, broad clear flippers and a soft white snow cap tilted over its face.|flipper chill|snowcap plunge
currantide|A sea-grape plant creature with a branching jade stem body, a pearl-white face and clusters of translucent turquoise fruit filled with swirling water.|grape splash|cluster current
hydroveil|A graceful floating veil creature with a pearl mask, layered sheets of blue water for a body and little silver droplets hemming its edges.|veil lash|bridal downpour
sprinkoi|A koi-shaped creature with white ceramic scales, blue floral markings and a rotating brass sprinkler crown spraying a delicate water fan.|sprinkler flick|porcelain rain
nautibolt|A squat nautilus with a bolted steel spiral shell, soft aqua tentacles and a luminous blue gauge set into its shell's centre.|shell piston|pressure spiral
shoardin|A plated sand-coloured guardian with a crescent blue shield body, four short stone feet and thin waterfalls pouring from gaps in its armour.|shield splash|shoreline surge
wispwell|A tiny rounded water spirit sitting inside a transparent well bucket, with pearl eyes and four flexible blue rope limbs.|rope whip|bucketful burst
rillocel|A tall cello-bodied creature with a curved driftwood frame, a clear riverwater belly and two long bow-shaped blue legs.|river pluck|deepwater chord
glacigong|A circular frosted bronze gong creature with a dark blue face, ice tassels and two bent metal legs standing on small floating ice discs.|frost clang|glacier resonance
foamur|A ring-tailed lemur with seafoam-white fur, bright turquoise eyes and long blue fingers tipped with small transparent soap bubbles.|bubble rake|foam-tail cyclone
torrentyx|A compact horned cat with rain-dark blue fur, translucent water antlers and four broad paws flowing into short ribbon-shaped streams.|rainclaw strike|torrent pounce
batholith|A heavy basalt hippo with a polished aqua belly, geyser vents above its shoulders and a fringe of pale mineral crystals around its jaws.|basalt splash|geyser heave
lochnymph|A small lake spirit with a pale reed body, a broad lily-shaped blue hat and long reflective sleeves that end in droplet hands.|reed ripple|stillwater surge
scullfin|A broad flat fish with dark varnished wooden scales, oar-shaped side fins and a clear blue glass chamber along its spine.|oar sweep|sculling rush
mistrelle|A slim masked dancer with translucent silver-blue mist limbs, a dark sea-silk sash and a halo of tiny floating rain beads.|miststep strike|silver rainwheel
crystern|A graceful tern with a clear blue crystal body, thin opal wings and a long pointed tail ending in three suspended water droplets.|opal skim|crystal squall
sluicera|A robust serpent with overlapping bronze sluice-gate scales, clear blue water visible between its ribs and broad stone fins along its neck.|gate snap|sluice release
amphoracle|A squat amphibian oracle with pearlescent slate skin, a wide bowl-shaped head full of clear water and glowing blue eyes beneath a soft frill.|basin gaze|oracle deluge
brumball|A round storm-cloud creature with a single large turquoise eye, soft grey rain whiskers and four small translucent boots filled with blue water.|rainboot kick|brumal burst
rivetide|A little metal dragon with riveted blue-steel plates, folded sailcloth wings and a transparent water tank replacing the lower half of its tail.|rivet nip|tankwater surge
velouray|A broad ray with deep navy velvet skin, pale turquoise embroidered-looking fins and a short pearly tail ending in a water droplet.|velvet sweep|silken undertow
cressurge|A small upright sea-cress creature with a shell bowl torso, a broad blue-green leaf head and four curled roots carrying suspended water beads.|root splash|cresswater surge
aqualoom|A four-legged weaving frame creature with a white driftwood body, polished blue pebbles for eyes and a sheet of flowing water stretched across its back.|water shuttle|woven wave
